,code
0,95570
1,6840
2,282330
3,27410
4,138930
5,1465
6,1460
7,1045
8,00104K
9,1040
10,11155
11,11150
12,590
13,12030
14,16610
15,5830
16,995
17,990
18,139130
19,1530
20,215
21,1880
22,210
23,37550K
24,375500
25,155660
26,69730
27,17940
28,365550
29,383220
30,7700
31,78935
32,6360
33,78930
34,12630
35,294870
36,97230
37,3560
38,175330
39,234080
40,1065
41,1067
42,1060
43,96760
44,105560
45,9070
46,16385
47,16380
48,1390
49,33180
50,1940
51,25000
52,92230
53,40
54,93050
55,3555
56,34220
57,3550
58,51905
59,51900
60,373220
61,32640
62,11070
63,66575
64,66570
65,51915
66,51910
67,79550
68,10120
69,680
70,6260
71,1120
72,23150
73,35420
74,181710
75,338100
76,34310
77,8260
78,4255
79,4250
80,10060
81,10955
82,10950
83,5090
84,1380
85,1770
86,2360
87,9160
88,123700
89,25530
90,03473K
91,11790
92,18670
93,1745
94,1740
95,210980
96,395400
97,34730
98,402340
99,361610
100,96775
101,96770
102,1515
103,1510
104,28513K
105,285130
106,17670
107,64960
108,100840
109,3570
110,36530
111,5610
112,11810
113,77970
114,71970
115,84870
116,2710
117,24070
118,500
119,860
120,35250
121,11420
122,2100
123,9450
124,267290
125,12320
126,50
127,214390
128,12610
129,9140
130,13580
131,12205
132,12200
133,2140
134,10130
135,2240
136,9290
137,17040
138,17900
139,37710
140,30610
141,339770
142,7690
143,5320
144,1140
145,2720
146,114090
147,83420
148,14530
149,14285
150,14280
151,8870
152,1570
153,2995
154,2990
155,11785
156,11780
157,214330
158,1210
159,73240
160,92440
161,270
162,13700
163,4545
164,4540
165,1260
166,8355
167,8350
168,4270
169,3925
170,3920
171,25860
172,5725
173,5720
174,2355
175,2350
176,3580
177,251270
178,90355
179,90350
180,325
181,320
182,6280
183,5257
184,5250
185,4370
186,72710
187,58730
188,23590
189,145210
190,19680
191,19685
192,6370
193,00806K
194,8060
195,353200
196,35320K
197,490
198,8110
199,5750
200,6570
201,1685
202,1680
203,84695
204,84690
205,128820
206,117580
207,16710
208,3545
209,3547
210,3540
211,9190
212,14160
213,47040
214,9320
215,42660
216,3090
217,69620
218,430
219,6345
220,6340
221,3220
222,24890
223,2880
224,300
225,15230
226,12800
227,1070
228,6650
229,1440
230,84010
231,1795
232,1790
233,1130
234,3495
235,3490
236,5880
237,3830
238,16090
239,69460
240,192080
241,12510
242,4835
243,4830
244,24900
245,145720
246,2150
247,1230
248,4140
249,7590
250,5965
251,5960
252,26960
253,2210
254,102260
255,640
256,170900
257,28100
258,282690
259,1525
260,1527
261,1529
262,84670
263,1520
264,82640
265,8970
266,92780
267,49770
268,18500
269,6040
270,30720
271,14825
272,14820
273,163560
274,4890
275,2690
276,20
277,155
278,157
279,241560
280,150
281,34020
282,33626K
283,33626L
284,336260
285,16740
286,192650
287,24090
288,3160
289,92200
290,4840
291,377190
292,13570
293,210540
294,7340
295,115390
296,32350
297,89860
298,330590
299,400
300,23530
301,4000
302,286940
303,280360
304,00499K
305,4990
306,5305
307,5300
308,11170
309,2270
310,71840
311,27740
312,204320
313,1080
314,88980
315,138040
316,8560
317,60
318,90370
319,17180
320,9900
321,12690
322,5360
323,204210
324,9680
325,9200
326,9580
327,33920
328,8420
329,25560
330,7120
331,396690
332,357250
333,94800
334,85620
335,6805
336,00680K
337,6800
338,2840
339,268280
340,107590
341,134380
342,3650
343,155900
344,3610
345,1340
346,35150
347,2410
348,7210
349,2760
350,3850
351,890
352,3000
353,1275
354,1270
355,26940
356,11390
357,5030
358,2070
359,100220
360,30790
361,5180
362,3960
363,8040
364,7160
365,14710
366,6090
367,1470
368,6405
369,6400
370,6660
371,02826K
372,28260
373,207940
374,32830
375,18260
376,28050
377,9155
378,9150
379,5935
380,5930
381,1360
382,10145
383,10140
384,16360
385,68290
386,29780
387,815
388,810
389,6110
390,145995
391,145990
392,3230
393,2170
394,272550
395,75
396,70
397,2810
398,5680
399,3720
400,23000
401,4380
402,2450
403,4440
404,520
405,9770
406,5500
407,4690
408,10960
409,4450
410,9470
411,11230
412,1820
413,390
414,1290
415,41650
416,75180
417,7540
418,248170
419,7860
420,200880
421,17390
422,4415
423,4410
424,21050
425,8490
426,7610
427,2820
428,136490
429,14915
430,14910
431,3080
432,4985
433,4980
434,11300
435,180
436,2420
437,4365
438,4360
439,4490
440,1430
441,306200
442,3030
443,19440
444,58650
445,13000
446,91090
447,21820
448,67830
449,33530
