0,1,2,3,4,5,6,7,8
주요재무정보,"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,366,"1,326","1,178",,227,380,345,
영업이익,-163,-246,12,,-9,13,-2,
영업이익(발표기준),-163,-246,12,,-9,13,-2,
세전계속사업이익,-244,-405,-114,,-21,-14,-18,
당기순이익,-244,-410,-115,,-21,-14,-18,
당기순이익(지배),-234,-405,-81,,-14,-18,-17,
당기순이익(비지배),-11,-6,-34,,-7,5,-1,
자산총계,"1,549","1,441","1,559",,"1,679","1,759","1,815",
부채총계,850,"1,089","1,060",,"1,141","1,234","1,302",
자본총계,699,352,498,,538,524,513,
자본총계(지배),529,185,363,,411,395,378,
자본총계(비지배),,167,135,,127,129,135,
자본금,947,947,458,,481,481,481,
영업활동현금흐름,-134,-71,88,,-38,42,-40,
투자활동현금흐름,-99,73,-74,,-4,-25,-5,
재무활동현금흐름,473,-155,103,,-5,19,10,
CAPEX,6,5,51,,3,6,3,
FCF,-140,-76,38,,-42,36,-43,
이자발생부채,473,714,415,,461,484,511,
영업이익률,-44.46,-18.59,1.03,,-3.94,3.53,-0.66,
순이익률,-66.85,-30.96,-9.75,,-9.23,-3.67,-5.07,
ROE(%),-49.31,-113.29,-29.64,,-29.30,-24.63,-26.59,
ROA(%),-18.56,-27.45,-7.66,,-7.82,-8.28,-8.36,
부채비율,121.62,309.20,212.72,,212.01,235.42,253.77,
자본유보율,-35.08,-86.23,-35.01,,-24.60,-30.95,-34.51,
EPS(원),-755,-855,-107,,-15,-19,-17,
PER(배),N/A,N/A,N/A,,N/A,N/A,N/A,
BPS(원),"1,117",392,396,,428,411,393,
PBR(배),1.45,2.31,2.86,,3.07,2.98,2.58,
현금DPS(원),0,0,,,,,,
현금배당수익률,0.00,0.00,,,,,,
현금배당성향(%),0.00,0.00,0.00,,0.00,,0.00,
발행주식수(보통주),"47,361,019","47,361,019","91,661,018",,"96,137,368","96,137,368","96,137,368",
