0,1,2,3,4,5,6,7,8
토니모리(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"2,331","2,057","1,810","1,720","1,135",,,
영업이익,176,-19,-50,-3,-255,,,
영업이익(발표기준),176,-19,-50,-3,-255,,,
세전계속사업이익,181,-38,-40,-41,-432,,,
당기순이익,129,-55,-78,-57,-396,,,
당기순이익(지배),129,-55,-76,-54,-379,,,
당기순이익(비지배),,,-2,-3,-18,,,
자산총계,"1,819","1,997","2,042","2,409","1,942",,,
부채총계,548,855,987,"1,423","1,257",,,
자본총계,"1,271","1,142","1,055",986,685,,,
자본총계(지배),"1,271","1,142","1,052",988,627,,,
자본총계(비지배),,,,-2,58,,,
자본금,35,35,35,35,35,,,
영업활동현금흐름,15,-19,-139,18,-81,,,
투자활동현금흐름,-6,-520,-67,140,-142,,,
재무활동현금흐름,-36,408,139,177,-149,,,
CAPEX,110,324,194,63,33,,,
FCF,-95,-343,-333,-45,-114,,,
이자발생부채,40,411,575,"1,036",930,,,
영업이익률,7.57,-0.93,-2.78,-0.16,-22.50,,,
순이익률,5.53,-2.68,-4.31,-3.31,-34.92,,,
ROE(%),10.57,-4.56,-6.89,-5.33,-46.89,,,
ROA(%),7.65,-2.89,-3.86,-2.56,-18.21,,,
부채비율,43.09,74.86,93.50,144.35,183.53,,,
자본유보율,"3,508.15","3,241.31","2,985.51","2,781.66","1,784.90",,,
EPS(원),676,-288,-396,-285,"-1,982",,,
PER(배),31.69,N/A,N/A,N/A,N/A,,,
BPS(원),"6,657","6,027","5,556","5,214","3,310",,,
PBR(배),3.22,2.76,1.91,1.89,2.54,,,
현금DPS(원),212,46,92,0,0,,,
현금배당수익률,0.99,0.28,0.87,0.00,0.00,,,
현금배당성향(%),31.45,-5.29,-15.64,0.00,0.00,,,
발행주식수(보통주),"19,096,359","19,096,359","19,096,359","19,096,359","19,096,359",,,
