0,1,2,3,4,5,6,7,8
미래에셋대우스팩 5호(금융),,,,"2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2022/12(E)
									
(IFRS별도)","2023/12(E)
									
(IFRS별도)"
매출액,,,,,0,,,
영업이익,,,,,-1,,,
영업이익(발표기준),,,,,-1,,,
세전계속사업이익,,,,,-1,,,
당기순이익,,,,,0,,,
당기순이익(지배),,,,,0,,,
당기순이익(비지배),,,,,0,,,
자산총계,,,,,117,,,
부채총계,,,,,20,,,
자본총계,,,,,97,,,
자본총계(지배),,,,,97,,,
자본총계(비지배),,,,,,,,
자본금,,,,,5,,,
영업활동현금흐름,,,,,-1,,,
투자활동현금흐름,,,,,-94,,,
재무활동현금흐름,,,,,117,,,
CAPEX,,,,,,,,
FCF,,,,,,,,
이자발생부채,,,,,19,,,
영업이익률,,,,,,,,
순이익률,,,,,,,,
ROE(%),,,,,,,,
ROA(%),,,,,,,,
부채비율,,,,,20.18,,,
자본유보율,,,,,"1,819.61",,,
EPS(원),,,,,-18,,,
PER(배),,,,,N/A,,,
BPS(원),,,,,"1,920",,,
PBR(배),,,,,1.10,,,
현금DPS(원),,,,,,,,
현금배당수익률,,,,,,,,
현금배당성향(%),,,,,0.00,,,
발행주식수(보통주),,,,,"5,060,000",,,
