0,1,2,3,4,5,6,7,8
두산밥캣(산업재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"39,708","45,096","42,821","55,822","12,248","12,796","15,165","15,628"
영업이익,"4,590","4,770","3,939","5,700","1,713","1,395","1,259","1,336"
영업이익(발표기준),"4,590","4,770","3,939",,"1,713","1,395","1,259",
세전계속사업이익,"4,037","4,049","3,558","4,819","1,631","1,263",768,"1,148"
당기순이익,"2,645","2,721","2,475","3,406","1,154",925,519,762
당기순이익(지배),"2,645","2,721","2,475","3,452","1,154",925,519,812
당기순이익(비지배),,,,,,,,
자산총계,"64,463","67,042","69,606","81,414","74,709","81,449","84,523","81,414"
부채총계,"27,067","27,252","28,868","37,457","31,968","37,588","42,747","37,457"
자본총계,"37,396","39,791","40,738","43,957","42,741","43,861","41,776","43,957"
자본총계(지배),"37,396","39,791","40,738","43,957","42,741","43,861","41,776","43,957"
자본총계(비지배),,,,,,,,
자본금,482,499,469,473,488,487,511,473
영업활동현금흐름,"6,166","4,857","5,653","1,759","2,063",338,-37,
투자활동현금흐름,-679,"-3,459","-2,389","-1,470",-89,"-1,124","-7,352",
재무활동현금흐름,"-4,219","-4,931","2,424","3,908",-155,"5,446",-40,
CAPEX,753,"1,320","1,175","2,938",177,232,"1,044",
FCF,"5,413","3,537","4,478","-1,823","1,886",106,"-1,081",
이자발생부채,"10,992","8,303","11,027",,"11,617","16,944","19,674",
영업이익률,11.56,10.58,9.20,10.21,13.98,10.90,8.30,8.55
순이익률,6.66,6.03,5.78,6.10,9.42,7.23,3.42,4.88
ROE(%),7.38,7.05,6.15,8.15,7.85,8.96,8.70,
ROA(%),4.19,4.14,3.62,4.51,4.46,4.94,4.63,
부채비율,72.38,68.49,70.86,85.21,74.80,85.70,102.33,85.21
자본유보율,"8,538.21","8,815.47","9,146.38",,"9,406.36","9,598.33","8,879.52",
EPS(원),"2,638","2,714","2,468","3,443","1,151",922,518,810
PER(배),11.94,12.65,12.01,11.18,12.81,12.63,11.04,
BPS(원),"37,303","39,692","40,637","43,848","42,634","43,752","41,672","43,848"
PBR(배),0.84,0.87,0.73,0.88,0.99,1.10,0.96,0.88
현금DPS(원),900,"1,200",0,957,0,0,0,
현금배당수익률,2.86,3.49,0.00,2.49,,,,
현금배당성향(%),34.11,44.21,0.00,27.80,0.00,0.00,0.00,
발행주식수(보통주),"100,249,166","100,249,166","100,249,166",,"100,249,166","100,249,166",,
