0,1,2,3,4,5,6,7,8
컴퍼니케이(금융),"2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,149,169,186,,23,72,28,
영업이익,82,108,128,182,2,64,14,
영업이익(발표기준),82,108,128,,2,64,14,
세전계속사업이익,80,106,127,181,2,64,14,
당기순이익,62,85,99,141,1,50,11,
당기순이익(지배),62,85,99,141,1,50,11,
당기순이익(비지배),0,0,0,,0,0,0,
자산총계,288,573,644,791,643,687,703,791
부채총계,56,61,59,94,86,81,86,94
자본총계,232,512,585,696,557,606,617,696
자본총계(지배),232,512,585,696,557,606,617,696
자본총계(비지배),,,,,,,,
자본금,77,98,98,98,98,98,98,98
영업활동현금흐름,83,-16,-59,,9,-13,-17,
투자활동현금흐름,-68,-57,44,,0,0,0,
재무활동현금흐름,-35,155,-38,,-1,-10,6,
CAPEX,4,3,6,,,,,
FCF,,,,,,,,
이자발생부채,32,10,0,,0,20,27,
영업이익률,54.88,63.78,68.57,,8.39,88.73,50.33,
순이익률,41.71,50.34,52.93,,6.36,69.04,38.57,
ROE(%),25.75,22.88,17.98,22.02,17.28,21.92,19.66,
ROA(%),22.67,19.77,16.20,19.65,14.97,19.69,17.64,
부채비율,24.02,11.93,10.16,13.51,15.45,13.33,13.97,13.51
자본유보율,201.83,424.82,499.57,,470.65,521.57,532.48,
EPS(원),443,604,632,903,9,318,68,
PER(배),,12.86,10.72,10.01,19.48,12.72,11.24,
BPS(원),"2,021","3,280","3,747","4,459","3,566","3,884","3,952","4,459"
PBR(배),0.00,2.37,1.81,2.03,3.18,2.57,2.06,2.03
현금DPS(원),0,160,190,,,,,
현금배당수익률,,2.06,2.81,,,,,
현금배당성향(%),0.00,29.34,30.08,,0.00,,0.00,
발행주식수(보통주),"11,490,000","15,610,000","15,610,000",,"15,610,000","15,610,000","15,610,000",
