0,1,2,3,4,5,6,7,8
지투알(커뮤니케이션서비스),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"5,382","5,421","3,756",,649,"1,077","1,053",
영업이익,254,219,253,,-30,17,70,
영업이익(발표기준),254,219,253,,-30,17,70,
세전계속사업이익,226,211,196,,-30,54,67,
당기순이익,153,153,90,,-29,39,51,
당기순이익(지배),153,153,90,,-29,39,51,
당기순이익(비지배),0,0,0,,0,0,0,
자산총계,"6,328","5,037","5,304",,"4,449","4,339","4,719",
부채총계,"5,024","3,608","3,850",,"3,065","2,916","3,233",
자본총계,"1,304","1,429","1,453",,"1,383","1,423","1,486",
자본총계(지배),"1,304","1,429","1,453",,"1,383","1,423","1,486",
자본총계(비지배),,0,0,,0,0,0,
자본금,176,176,176,,176,176,176,
영업활동현금흐름,-420,198,110,,-379,384,-277,
투자활동현금흐름,17,118,120,,-10,-58,84,
재무활동현금흐름,12,-164,-92,,112,-192,107,
CAPEX,26,25,16,,3,5,3,
FCF,-446,173,94,,-382,379,-280,
이자발생부채,99,69,94,,201,69,183,
영업이익률,4.72,4.04,6.73,,-4.57,1.55,6.64,
순이익률,2.84,2.82,2.41,,-4.53,3.66,4.81,
ROE(%),12.11,11.17,6.27,,8.12,10.45,14.99,
ROA(%),2.47,2.69,1.75,,2.57,3.40,4.57,
부채비율,385.21,252.44,264.94,,221.58,204.84,217.57,
자본유보율,702.30,767.81,793.40,,748.97,771.43,800.25,
EPS(원),922,921,546,,-177,238,306,
PER(배),8.16,7.11,10.45,,8.67,7.97,5.30,
BPS(원),"8,046","8,816","8,965",,"8,534","8,781","9,167",
PBR(배),0.94,0.74,0.64,,0.68,0.79,0.73,
현금DPS(원),250,300,300,,,,,
현금배당수익률,3.32,4.58,5.26,,,,,
현금배당성향(%),26.52,31.87,53.79,,0.00,,0.00,
발행주식수(보통주),"16,567,409","16,567,409","16,567,409",,"16,567,409","16,567,409","16,567,409",
