0,1,2,3,4,5,6,7,8
팬스타엔터프라이즈(경기관련소비재),"2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,284,372,320,,88,124,159,
영업이익,7,16,-26,,-2,-2,6,
영업이익(발표기준),7,16,-26,,-2,-2,6,
세전계속사업이익,-9,9,-64,,-1,4,14,
당기순이익,-9,9,-64,,-1,4,14,
당기순이익(지배),-9,9,-64,,-1,4,14,
당기순이익(비지배),,,,,,,,
자산총계,451,675,710,,714,714,793,
부채총계,141,264,346,,348,335,375,
자본총계,311,411,364,,365,379,417,
자본총계(지배),311,411,364,,365,379,417,
자본총계(비지배),,,,,,,,
자본금,217,262,262,,264,269,282,
영업활동현금흐름,8,3,31,,3,-3,-6,
투자활동현금흐름,-18,-110,-79,,-12,-3,-26,
재무활동현금흐름,13,135,80,,1,-6,28,
CAPEX,10,100,75,,0,3,26,
FCF,-3,-97,-44,,3,-6,-32,
이자발생부채,86,178,226,,228,215,241,
영업이익률,2.58,4.28,-8.00,,-2.20,-1.79,3.88,
순이익률,-3.34,2.47,-20.06,,-1.14,2.96,8.54,
ROE(%),-3.18,2.55,-16.59,,-15.97,-9.56,-2.15,
ROA(%),-2.17,1.63,-9.29,,-9.05,-5.21,-1.14,
부채비율,45.24,64.16,95.11,,95.38,88.45,89.94,
자본유보율,45.56,57.38,37.94,,37.59,39.48,46.56,
EPS(원),-23,19,-123,,-2,7,25,
PER(배),N/A,49.54,N/A,,N/A,N/A,N/A,
BPS(원),718,786,694,,693,704,741,
PBR(배),1.00,1.22,1.04,,1.35,1.41,1.31,
현금DPS(원),0,0,0,,0,0,0,
현금배당수익률,0.00,0.00,0.00,,,,,
현금배당성향(%),0.00,0.00,0.00,,0.00,0.00,0.00,
발행주식수(보통주),"43,317,303","52,317,968","52,447,890",,"52,721,114","53,785,531","56,389,966",
