"ID","Symbol","Market","Name","MainSector","Sector","Industry","ListingDate","HomePage"
0,"000210","KOSPI","DL","소재","기타 금융업","지주회사","1976-02-02","http://www.dlholdings.co.kr"
1,"004840","KOSPI","DRB동일","경기관련소비재","고무제품 제조업","고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매","1976-05-21","http://drbworld.com"
2,"155660","KOSPI","DSR","소재","1차 비철금속 제조업","합섬섬유로프","2013-05-15","http://www.dsr.com"
3,"078930","KOSPI","GS","에너지","기타 금융업","지주회사/부동산 임대","2004-08-05","nan"
4,"001250","KOSPI","GS글로벌","산업재","상품 종합 도매업","수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대","1976-06-26","http://www.gsgcorp.com"
5,"039570","KOSPI","HDC랩스","산업재","전기 및 통신 공사업","기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리","2015-09-24","http://hdc-labs.com"
6,"011200","KOSPI","HMM","산업재","해상 운송업","정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운","1995-10-05","http://www.hmm21.com"
7,"092220","KOSPI","KEC","IT","반도체 제조업","반도체 제조","2006-10-16","http://www.kec.co.kr"
8,"016380","KOSPI","KG동부제철","소재","1차 철강 제조업","철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매","1986-02-03","http://www.kgdongbusteel.co.kr"
9,"001390","KOSPI","KG케미칼","에너지","기초 화학물질 제조업","콘크리트혼화제, 비료, 친환경농자재, 수처리제","1989-08-25","http://www.kgchem.co.kr"
10,"058860","KOSPI","KTis","산업재","기타 정보 서비스업","114전화번호안내, 고객센터","2010-12-17","http://www.ktis.co.kr"
11,"373220","KOSPI","LG에너지솔루션","IT","일차전지 및 축전지 제조업","2차전지 (소형,ESS,자동차전지)","2022-01-27","nan"
