"COMP_ID","ID","Code","Quarter","NetRevenue","NetRevenueRate","NetProfitMargin","NetProfitMarginRate","DERatio","PER","PSR","PBR","PCR","OperationActivities","InvestingActivities","FinancingActivities","DividendYield","DividendPayoutRatio","ROA","REO"
0,0,"000210","2016-12-01",98538,NULL,2653,NULL,140.83,12.67,NULL,0.73,NULL,1470,-6994,-463,0.34,4.44,5.92,2.4
0,1,"000210","2017-12-01",123355,NULL,4905,NULL,135.37,6.48,NULL,0.63,NULL,4376,-2374,1539,1.21,7.91,10.14,3.94
0,2,"000210","2018-12-01",109845,NULL,6464,NULL,112.12,6.12,NULL,0.73,NULL,11045,-3808,-5256,1.66,10.18,12.37,5.17
0,3,"000210","2019-12-01",16604,NULL,6650,NULL,99.58,5.25,NULL,0.59,NULL,9522,-1373,-3868,1.44,7.57,11.74,5.41
0,4,"000210","2020-12-01",15661,NULL,5050,NULL,332.9,6.34,NULL,1.24,NULL,13662,-14751,3689,1.57,9.97,11.84,4.19
0,5,"000210","2021-12-01",23514,NULL,9062,NULL,178.39,1.39,NULL,0.4,NULL,3325,-6570,6275,2.24,3.12,30.08,7.16
0,6,"000210","2022-12-01",25330,NULL,4630,NULL,265.49,2.84,NULL,0.34,NULL,5180,-11180,8530,2.24,5.88,12.79,3.24
0,7,"000210","2023-12-01",24370,NULL,6110,NULL,248.6,2.15,NULL,0.3,NULL,4820,-11230,8530,2.24,4.46,14.94,3.45
1,8,"004840","2016-12-01",5513,NULL,394,NULL,62.92,5.96,NULL,0.68,NULL,623,-664,107,0.63,3.63,12.55,7.3
1,9,"004840","2017-12-01",5439,NULL,180,NULL,54.99,8.52,NULL,0.44,NULL,221,-412,-73,1.24,10.21,5.36,2.77
1,10,"004840","2018-12-01",5454,NULL,62,NULL,59.78,20.95,NULL,0.37,NULL,300,-447,170,1.64,33.17,1.83,1.63
1,11,"004840","2019-12-01",5470,NULL,89,NULL,61.48,11.81,NULL,0.29,NULL,418,-411,45,1.9,21.71,2.54,1.85
1,12,"004840","2020-12-01",4966,NULL,23,NULL,67.47,58.97,NULL,0.38,NULL,520,-683,374,0.73,41.38,0.66,0.82
1,13,"004840","2021-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,14,"004840","2022-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,15,"004840","2023-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,16,"155660","2016-12-01",2011,NULL,107,NULL,46.6,13.85,NULL,1.13,NULL,105,-125,48,0.54,7.44,8.5,5.76
2,17,"155660","2017-12-01",2264,NULL,111,NULL,62.04,7.47,NULL,0.59,NULL,64,-280,183,0.97,7.22,8.15,5.2
2,18,"155660","2018-12-01",2360,NULL,79,NULL,52.59,8.07,NULL,0.44,NULL,46,-30,-36,1.25,10.12,5.54,3.54
2,19,"155660","2019-12-01",2363,NULL,87,NULL,54.77,8.4,NULL,0.48,NULL,138,-113,49,1.09,9.15,5.83,3.77
2,20,"155660","2020-12-01",2310,NULL,89,NULL,55.22,11.2,NULL,0.62,NULL,174,-167,-5,0.8,8.96,5.67,3.64
2,21,"155660","2021-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,22,"155660","2022-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,23,"155660","2023-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,24,"078930","2016-12-01",134624,NULL,8057,NULL,128.03,6.36,NULL,0.74,NULL,8517,-5236,-3363,2.96,18.81,12.13,4.69
3,25,"078930","2017-12-01",155801,NULL,9862,NULL,127.72,5.97,NULL,0.76,NULL,13065,-14182,3345,2.89,17.29,13.42,5.16
3,26,"078930","2018-12-01",177444,NULL,9032,NULL,115.02,5.41,NULL,0.58,NULL,12692,-8359,-5150,3.68,19.93,11.14,4.62
3,27,"078930","2019-12-01",177861,NULL,5440,NULL,124.53,8.98,NULL,0.55,NULL,15864,-3438,-11664,3.68,33.08,6.26,2.83
3,28,"078930","2020-12-01",154442,NULL,-2427,NULL,127.55,NULL,NULL,0.43,NULL,17382,-14240,-2968,5.06,-74.16,-2.82,-0.76
3,29,"078930","2021-12-01",190059,NULL,15144,NULL,127.91,2.5,NULL,0.39,NULL,16768,-15663,2515,4.84,11.86,16.76,5.76
3,30,"078930","2022-12-01",214611,NULL,12503,NULL,116.58,3.15,NULL,0.37,NULL,13128,-9258,-2298,4.76,14.71,12.16,4.33
3,31,"078930","2023-12-01",211006,NULL,12142,NULL,107.54,3.24,NULL,0.33,NULL,13394,-8646,-4420,4.81,15.3,10.77,4.02
4,32,"001250","2016-12-01",25538,NULL,156,NULL,274.42,10.29,NULL,0.82,NULL,734,-1582,802,0,0,6.07,1.51
4,33,"001250","2017-12-01",33874,NULL,212,NULL,260.58,10.9,NULL,0.63,NULL,818,-1314,775,0.89,9.75,6.22,1.65
4,34,"001250","2018-12-01",40585,NULL,205,NULL,231.44,9.9,NULL,0.53,NULL,-103,841,-890,1.01,10.04,5.48,1.54
4,35,"001250","2019-12-01",38894,NULL,-171,NULL,217.23,NULL,NULL,0.51,NULL,332,-79,-163,NULL,0,-4.61,-1.31
4,36,"001250","2020-12-01",28150,NULL,-804,NULL,219.99,NULL,NULL,0.56,NULL,1202,-65,-978,NULL,0,-24.91,-7.6
4,37,"001250","2021-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,38,"001250","2022-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,39,"001250","2023-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,40,"039570","2016-12-01",1889,NULL,189,NULL,36.52,13.11,NULL,1.41,NULL,72,-13,-51,1,13.09,11.25,8.23
5,41,"039570","2017-12-01",2640,NULL,238,NULL,40.23,10.11,NULL,1.22,NULL,62,57,-25,1.71,17.32,12.75,9.21
5,42,"039570","2018-12-01",2720,NULL,242,NULL,39.69,6.46,NULL,0.75,NULL,371,-350,-34,3.68,23.77,11.99,8.57
5,43,"039570","2019-12-01",2524,NULL,-59,NULL,40.68,NULL,NULL,1.06,NULL,-45,-3,-63,3.21,-97.7,-3.13,-2.24
5,44,"039570","2020-12-01",2604,NULL,157,NULL,33,11.03,NULL,0.97,NULL,74,112,-164,3.81,38.51,9.42,6.88
5,45,"039570","2021-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,46,"039570","2022-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,47,"039570","2023-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,48,"011200","2016-12-01",45848,NULL,-4596,NULL,362.31,NULL,NULL,1.3,NULL,-6390,14739,-5030,0,0,-81.1,-8.86
6,49,"011200","2017-12-01",50280,NULL,-11910,NULL,301.64,NULL,NULL,1.76,NULL,-2754,-2280,6615,0,0,-129.27,-29.77
6,50,"011200","2018-12-01",52221,NULL,-7907,NULL,296.42,NULL,NULL,1.12,NULL,-4169,-6728,9874,0,0,-81.8,-20.47
6,51,"011200","2019-12-01",55131,NULL,-5899,NULL,556.71,NULL,NULL,1.04,NULL,3993,-8772,5728,0,0,-55.46,-10.46
6,52,"011200","2020-12-01",64133,NULL,1239,NULL,455.11,36.32,NULL,2.7,NULL,14085,-20342,11555,0,0,8.92,1.5
6,53,"011200","2021-12-01",136801,NULL,48759,NULL,76.26,1.94,NULL,1.14,NULL,62445,-20627,13702,0,NULL,80.31,35.04
6,54,"011200","2022-12-01",153514,NULL,71333,NULL,41.56,1.67,NULL,0.68,NULL,85419,-12699,-3466,0,NULL,50.78,32.91
6,55,"011200","2023-12-01",106010,NULL,29536,NULL,32.32,4.03,NULL,0.58,NULL,44143,-12785,-4447,0,NULL,15.45,11.16
7,56,"092220","2016-12-01",2277,NULL,3,NULL,89.47,264.93,NULL,0.45,NULL,310,-291,71,0,0,0.17,0.02
7,57,"092220","2017-12-01",2263,NULL,9,NULL,61.63,130.29,NULL,0.66,NULL,124,28,-220,0.93,141.49,0.45,0.37
7,58,"092220","2018-12-01",2174,NULL,15,NULL,55.8,79.41,NULL,0.53,NULL,280,-97,-96,0,0,0.67,0.49
7,59,"092220","2019-12-01",2017,NULL,-192,NULL,56.2,NULL,NULL,0.58,NULL,176,-181,-11,0,0,-8.99,-5.76
7,60,"092220","2020-12-01",2010,NULL,-453,NULL,118.25,NULL,NULL,2.11,NULL,142,-463,356,0,0,-24.43,-12.77
7,61,"092220","2021-12-01",2639,NULL,310,NULL,99.4,12.27,NULL,2.36,NULL,282,-287,-34,0,NULL,17.39,8.25
7,62,"092220","2022-12-01",2815,NULL,378,NULL,81.64,12.1,NULL,1.97,NULL,597,-206,-59,0,NULL,17.76,9.17
7,63,"092220","2023-12-01",3013,NULL,418,NULL,66.74,10.94,NULL,1.67,NULL,609,-161,-109,0,NULL,16.55,9.36
8,64,"016380","2016-12-01",23280,NULL,-727,NULL,2136.01,NULL,NULL,0.7,NULL,3175,-289,-2163,0,0,-115.44,-2.54
8,65,"016380","2017-12-01",25962,NULL,-2676,NULL,5842.43,NULL,NULL,1.08,NULL,1831,97,-1988,0,0,-323.35,-9.95
8,66,"016380","2018-12-01",25451,NULL,-656,NULL,38840.8,NULL,NULL,12.21,NULL,-82,-327,-108,0,0,-278.19,-2.61
8,67,"016380","2019-12-01",24282,NULL,-333,NULL,164.8,NULL,NULL,0.88,NULL,-1698,-228,1652,0,0,-7.44,-1.38
8,68,"016380","2020-12-01",23424,NULL,668,NULL,132.11,17.37,NULL,1.19,NULL,1300,284,-2014,0.86,14.98,7.18,2.9
8,69,"016380","2021-12-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
